"regionname","date","cases"
"Costa Rica",2020-01-22,0
"Estonia",2020-01-22,0
"Guatemala",2020-01-22,0
"Ireland",2020-01-22,0
"Panama",2020-01-22,0
"Singapore",2020-01-22,0
"Taiwan",2020-01-22,1
"Costa Rica",2020-01-23,0
"Estonia",2020-01-23,0
"Guatemala",2020-01-23,0
"Ireland",2020-01-23,0
"Panama",2020-01-23,0
"Singapore",2020-01-23,1
"Taiwan",2020-01-23,1
"Costa Rica",2020-01-24,0
"Estonia",2020-01-24,0
"Guatemala",2020-01-24,0
"Ireland",2020-01-24,0
"Panama",2020-01-24,0
"Singapore",2020-01-24,3
"Taiwan",2020-01-24,3
"Costa Rica",2020-01-25,0
"Estonia",2020-01-25,0
"Guatemala",2020-01-25,0
"Ireland",2020-01-25,0
"Panama",2020-01-25,0
"Singapore",2020-01-25,3
"Taiwan",2020-01-25,3
"Costa Rica",2020-01-26,0
"Estonia",2020-01-26,0
"Guatemala",2020-01-26,0
"Ireland",2020-01-26,0
"Panama",2020-01-26,0
"Singapore",2020-01-26,4
"Taiwan",2020-01-26,4
"Costa Rica",2020-01-27,0
"Estonia",2020-01-27,0
"Guatemala",2020-01-27,0
"Ireland",2020-01-27,0
"Panama",2020-01-27,0
"Singapore",2020-01-27,5
"Taiwan",2020-01-27,5
"Costa Rica",2020-01-28,0
"Estonia",2020-01-28,0
"Guatemala",2020-01-28,0
"Ireland",2020-01-28,0
"Panama",2020-01-28,0
"Singapore",2020-01-28,7
"Taiwan",2020-01-28,8
"Costa Rica",2020-01-29,0
"Estonia",2020-01-29,0
"Guatemala",2020-01-29,0
"Ireland",2020-01-29,0
"Panama",2020-01-29,0
"Singapore",2020-01-29,7
"Taiwan",2020-01-29,8
"Costa Rica",2020-01-30,0
"Estonia",2020-01-30,0
"Guatemala",2020-01-30,0
"Ireland",2020-01-30,0
"Panama",2020-01-30,0
"Singapore",2020-01-30,10
"Taiwan",2020-01-30,9
"Costa Rica",2020-01-31,0
"Estonia",2020-01-31,0
"Guatemala",2020-01-31,0
"Ireland",2020-01-31,0
"Panama",2020-01-31,0
"Singapore",2020-01-31,13
"Taiwan",2020-01-31,10
"Costa Rica",2020-02-01,0
"Estonia",2020-02-01,0
"Guatemala",2020-02-01,0
"Ireland",2020-02-01,0
"Panama",2020-02-01,0
"Singapore",2020-02-01,16
"Taiwan",2020-02-01,10
"Costa Rica",2020-02-02,0
"Estonia",2020-02-02,0
"Guatemala",2020-02-02,0
"Ireland",2020-02-02,0
"Panama",2020-02-02,0
"Singapore",2020-02-02,18
"Taiwan",2020-02-02,10
"Costa Rica",2020-02-03,0
"Estonia",2020-02-03,0
"Guatemala",2020-02-03,0
"Ireland",2020-02-03,0
"Panama",2020-02-03,0
"Singapore",2020-02-03,18
"Taiwan",2020-02-03,10
"Costa Rica",2020-02-04,0
"Estonia",2020-02-04,0
"Guatemala",2020-02-04,0
"Ireland",2020-02-04,0
"Panama",2020-02-04,0
"Singapore",2020-02-04,24
"Taiwan",2020-02-04,11
"Costa Rica",2020-02-05,0
"Estonia",2020-02-05,0
"Guatemala",2020-02-05,0
"Ireland",2020-02-05,0
"Panama",2020-02-05,0
"Singapore",2020-02-05,28
"Taiwan",2020-02-05,11
"Costa Rica",2020-02-06,0
"Estonia",2020-02-06,0
"Guatemala",2020-02-06,0
"Ireland",2020-02-06,0
"Panama",2020-02-06,0
"Singapore",2020-02-06,28
"Taiwan",2020-02-06,16
"Costa Rica",2020-02-07,0
"Estonia",2020-02-07,0
"Guatemala",2020-02-07,0
"Ireland",2020-02-07,0
"Panama",2020-02-07,0
"Singapore",2020-02-07,30
"Taiwan",2020-02-07,16
"Costa Rica",2020-02-08,0
"Estonia",2020-02-08,0
"Guatemala",2020-02-08,0
"Ireland",2020-02-08,0
"Panama",2020-02-08,0
"Singapore",2020-02-08,33
"Taiwan",2020-02-08,17
"Costa Rica",2020-02-09,0
"Estonia",2020-02-09,0
"Guatemala",2020-02-09,0
"Ireland",2020-02-09,0
"Panama",2020-02-09,0
"Singapore",2020-02-09,40
"Taiwan",2020-02-09,18
"Costa Rica",2020-02-10,0
"Estonia",2020-02-10,0
"Guatemala",2020-02-10,0
"Ireland",2020-02-10,0
"Panama",2020-02-10,0
"Singapore",2020-02-10,45
"Taiwan",2020-02-10,18
"Costa Rica",2020-02-11,0
"Estonia",2020-02-11,0
"Guatemala",2020-02-11,0
"Ireland",2020-02-11,0
"Panama",2020-02-11,0
"Singapore",2020-02-11,47
"Taiwan",2020-02-11,18
"Costa Rica",2020-02-12,0
"Estonia",2020-02-12,0
"Guatemala",2020-02-12,0
"Ireland",2020-02-12,0
"Panama",2020-02-12,0
"Singapore",2020-02-12,50
"Taiwan",2020-02-12,18
"Costa Rica",2020-02-13,0
"Estonia",2020-02-13,0
"Guatemala",2020-02-13,0
"Ireland",2020-02-13,0
"Panama",2020-02-13,0
"Singapore",2020-02-13,58
"Taiwan",2020-02-13,18
"Costa Rica",2020-02-14,0
"Estonia",2020-02-14,0
"Guatemala",2020-02-14,0
"Ireland",2020-02-14,0
"Panama",2020-02-14,0
"Singapore",2020-02-14,67
"Taiwan",2020-02-14,18
"Costa Rica",2020-02-15,0
"Estonia",2020-02-15,0
"Guatemala",2020-02-15,0
"Ireland",2020-02-15,0
"Panama",2020-02-15,0
"Singapore",2020-02-15,72
"Taiwan",2020-02-15,18
"Costa Rica",2020-02-16,0
"Estonia",2020-02-16,0
"Guatemala",2020-02-16,0
"Ireland",2020-02-16,0
"Panama",2020-02-16,0
"Singapore",2020-02-16,75
"Taiwan",2020-02-16,20
"Costa Rica",2020-02-17,0
"Estonia",2020-02-17,0
"Guatemala",2020-02-17,0
"Ireland",2020-02-17,0
"Panama",2020-02-17,0
"Singapore",2020-02-17,77
"Taiwan",2020-02-17,22
"Costa Rica",2020-02-18,0
"Estonia",2020-02-18,0
"Guatemala",2020-02-18,0
"Ireland",2020-02-18,0
"Panama",2020-02-18,0
"Singapore",2020-02-18,81
"Taiwan",2020-02-18,22
"Costa Rica",2020-02-19,0
"Estonia",2020-02-19,0
"Guatemala",2020-02-19,0
"Ireland",2020-02-19,0
"Panama",2020-02-19,0
"Singapore",2020-02-19,84
"Taiwan",2020-02-19,23
"Costa Rica",2020-02-20,0
"Estonia",2020-02-20,0
"Guatemala",2020-02-20,0
"Ireland",2020-02-20,0
"Panama",2020-02-20,0
"Singapore",2020-02-20,84
"Taiwan",2020-02-20,24
"Costa Rica",2020-02-21,0
"Estonia",2020-02-21,0
"Guatemala",2020-02-21,0
"Ireland",2020-02-21,0
"Panama",2020-02-21,0
"Singapore",2020-02-21,85
"Taiwan",2020-02-21,26
"Costa Rica",2020-02-22,0
"Estonia",2020-02-22,0
"Guatemala",2020-02-22,0
"Ireland",2020-02-22,0
"Panama",2020-02-22,0
"Singapore",2020-02-22,85
"Taiwan",2020-02-22,26
"Costa Rica",2020-02-23,0
"Estonia",2020-02-23,0
"Guatemala",2020-02-23,0
"Ireland",2020-02-23,0
"Panama",2020-02-23,0
"Singapore",2020-02-23,89
"Taiwan",2020-02-23,28
"Costa Rica",2020-02-24,0
"Estonia",2020-02-24,0
"Guatemala",2020-02-24,0
"Ireland",2020-02-24,0
"Panama",2020-02-24,0
"Singapore",2020-02-24,89
"Taiwan",2020-02-24,30
"Costa Rica",2020-02-25,0
"Estonia",2020-02-25,0
"Guatemala",2020-02-25,0
"Ireland",2020-02-25,0
"Panama",2020-02-25,0
"Singapore",2020-02-25,91
"Taiwan",2020-02-25,31
"Costa Rica",2020-02-26,0
"Estonia",2020-02-26,0
"Guatemala",2020-02-26,0
"Ireland",2020-02-26,0
"Panama",2020-02-26,0
"Singapore",2020-02-26,93
"Taiwan",2020-02-26,32
"Costa Rica",2020-02-27,0
"Estonia",2020-02-27,1
"Guatemala",2020-02-27,0
"Ireland",2020-02-27,0
"Panama",2020-02-27,0
"Singapore",2020-02-27,93
"Taiwan",2020-02-27,32
"Costa Rica",2020-02-28,0
"Estonia",2020-02-28,1
"Guatemala",2020-02-28,0
"Ireland",2020-02-28,0
"Panama",2020-02-28,0
"Singapore",2020-02-28,93
"Taiwan",2020-02-28,34
"Costa Rica",2020-02-29,0
"Estonia",2020-02-29,1
"Guatemala",2020-02-29,0
"Ireland",2020-02-29,1
"Panama",2020-02-29,0
"Singapore",2020-02-29,102
"Taiwan",2020-02-29,39
"Costa Rica",2020-03-01,0
"Estonia",2020-03-01,1
"Guatemala",2020-03-01,0
"Ireland",2020-03-01,1
"Panama",2020-03-01,0
"Singapore",2020-03-01,106
"Taiwan",2020-03-01,40
"Costa Rica",2020-03-02,0
"Estonia",2020-03-02,1
"Guatemala",2020-03-02,0
"Ireland",2020-03-02,1
"Panama",2020-03-02,0
"Singapore",2020-03-02,108
"Taiwan",2020-03-02,41
"Costa Rica",2020-03-03,0
"Estonia",2020-03-03,2
"Guatemala",2020-03-03,0
"Ireland",2020-03-03,2
"Panama",2020-03-03,0
"Singapore",2020-03-03,110
"Taiwan",2020-03-03,42
"Costa Rica",2020-03-04,0
"Estonia",2020-03-04,2
"Guatemala",2020-03-04,0
"Ireland",2020-03-04,6
"Panama",2020-03-04,0
"Singapore",2020-03-04,110
"Taiwan",2020-03-04,42
"Costa Rica",2020-03-05,0
"Estonia",2020-03-05,3
"Guatemala",2020-03-05,0
"Ireland",2020-03-05,6
"Panama",2020-03-05,0
"Singapore",2020-03-05,117
"Taiwan",2020-03-05,44
"Costa Rica",2020-03-06,1
"Estonia",2020-03-06,10
"Guatemala",2020-03-06,0
"Ireland",2020-03-06,18
"Panama",2020-03-06,0
"Singapore",2020-03-06,130
"Taiwan",2020-03-06,45
"Costa Rica",2020-03-07,1
"Estonia",2020-03-07,10
"Guatemala",2020-03-07,0
"Ireland",2020-03-07,18
"Panama",2020-03-07,0
"Singapore",2020-03-07,138
"Taiwan",2020-03-07,45
"Costa Rica",2020-03-08,5
"Estonia",2020-03-08,10
"Guatemala",2020-03-08,0
"Ireland",2020-03-08,19
"Panama",2020-03-08,0
"Singapore",2020-03-08,150
"Taiwan",2020-03-08,45
"Costa Rica",2020-03-09,9
"Estonia",2020-03-09,10
"Guatemala",2020-03-09,0
"Ireland",2020-03-09,21
"Panama",2020-03-09,0
"Singapore",2020-03-09,150
"Taiwan",2020-03-09,45
"Costa Rica",2020-03-10,9
"Estonia",2020-03-10,12
"Guatemala",2020-03-10,0
"Ireland",2020-03-10,34
"Panama",2020-03-10,1
"Singapore",2020-03-10,160
"Taiwan",2020-03-10,47
"Costa Rica",2020-03-11,13
"Estonia",2020-03-11,16
"Guatemala",2020-03-11,0
"Ireland",2020-03-11,43
"Panama",2020-03-11,8
"Singapore",2020-03-11,178
"Taiwan",2020-03-11,48
"Costa Rica",2020-03-12,22
"Estonia",2020-03-12,16
"Guatemala",2020-03-12,0
"Ireland",2020-03-12,43
"Panama",2020-03-12,11
"Singapore",2020-03-12,178
"Taiwan",2020-03-12,49
"Costa Rica",2020-03-13,23
"Estonia",2020-03-13,79
"Guatemala",2020-03-13,0
"Ireland",2020-03-13,90
"Panama",2020-03-13,27
"Singapore",2020-03-13,200
"Taiwan",2020-03-13,50
"Costa Rica",2020-03-14,26
"Estonia",2020-03-14,115
"Guatemala",2020-03-14,1
"Ireland",2020-03-14,129
"Panama",2020-03-14,36
"Singapore",2020-03-14,212
"Taiwan",2020-03-14,53
"Costa Rica",2020-03-15,27
"Estonia",2020-03-15,171
"Guatemala",2020-03-15,1
"Ireland",2020-03-15,129
"Panama",2020-03-15,43
"Singapore",2020-03-15,226
"Taiwan",2020-03-15,59
"Costa Rica",2020-03-16,35
"Estonia",2020-03-16,205
"Guatemala",2020-03-16,2
"Ireland",2020-03-16,169
"Panama",2020-03-16,55
"Singapore",2020-03-16,243
"Taiwan",2020-03-16,67
"Costa Rica",2020-03-17,41
"Estonia",2020-03-17,225
"Guatemala",2020-03-17,6
"Ireland",2020-03-17,223
"Panama",2020-03-17,69
"Singapore",2020-03-17,266
"Taiwan",2020-03-17,77
"Costa Rica",2020-03-18,50
"Estonia",2020-03-18,258
"Guatemala",2020-03-18,6
"Ireland",2020-03-18,292
"Panama",2020-03-18,86
"Singapore",2020-03-18,313
"Taiwan",2020-03-18,100
"Costa Rica",2020-03-19,69
"Estonia",2020-03-19,267
"Guatemala",2020-03-19,9
"Ireland",2020-03-19,557
"Panama",2020-03-19,109
"Singapore",2020-03-19,345
"Taiwan",2020-03-19,108
"Costa Rica",2020-03-20,89
"Estonia",2020-03-20,283
"Guatemala",2020-03-20,12
